Возраст_Числовой,Оценка_Задания_Числовой,Количество_Попыток_Числовой,Статус_Категориальный,Группа_Категориальный,Описание_Предложение,Комментарий_Предложение,Замечание_Предложение,Булево_Значение,Дата_Столбец
39,3.22,9,КАТ4,,Увеличение количества пропусков.,Проектная работа будет представлена.,Модульная работа.,True,2025-01-08
61,3.88,9,КАТ2,F6,Модульная работа.,Увеличение количества пропусков.,Сегодня прекрасный день для изучения Pandas.,True,2025-04-23
42,3.4,3,КАТ1,F6,Объект находится в разработке.,Студент успешно выполнил все поставленные перед ним задачи.,Это длинное и осмысленное предложение для анализа.,False,2025-12-21
44,4.79,3,КАТ4,E5,Объект находится в разработке.,Проектная работа будет представлена.,Увеличение количества пропусков.,False,
59,3.95,3,КАТ5,B2,Это длинное и осмысленное предложение для анализа.,Проектная работа будет представлена.,Это длинное и осмысленное предложение для анализа.,True,2025-06-29
45,4.13,4,КАТ4,B2,Проектная работа будет представлена.,Модульная работа.,Студент успешно выполнил все поставленные перед ним задачи.,False,2025-07-26
33,4.39,8,КАТ1,F6,Проектная работа будет представлена.,Сегодня прекрасный день для изучения Pandas.,Сегодня прекрасный день для изучения Pandas.,True,2025-10-30
32,3.28,6,КАТ6,,Модульная работа.,,Это длинное и осмысленное предложение для анализа.,False,2025-05-07
64,4.21,8,КАТ6,D4,Это длинное и осмысленное предложение для анализа.,Сегодня прекрасный день для изучения Pandas.,Объект находится в разработке.,True,2025-02-25
61,4.08,1,КАТ4,,Объект находится в разработке.,Это длинное и осмысленное предложение для анализа.,Модульная работа.,False,2025-08-02
20,3.41,8,КАТ3,,,Объект находится в разработке.,Студент успешно выполнил все поставленные перед ним задачи.,False,
54,4.89,4,КАТ4,B2,Это длинное и осмысленное предложение для анализа.,Модульная работа.,Сегодня прекрасный день для изучения Pandas.,True,2025-01-28
24,4.2,1,КАТ2,B2,Сегодня прекрасный день для изучения Pandas.,,Это длинное и осмысленное предложение для анализа.,False,2025-03-19
38,4.39,8,КАТ2,C3,Проектная работа будет представлена.,Увеличение количества пропусков.,Увеличение количества пропусков.,True,2025-08-04
26,4.76,4,КАТ6,B2,Увеличение количества пропусков.,Это длинное и осмысленное предложение для анализа.,Объект находится в разработке.,True,2025-12-31
56,4.25,6,КАТ3,,Сегодня прекрасный день для изучения Pandas.,Сегодня прекрасный день для изучения Pandas.,Объект находится в разработке.,,2025-06-03
35,3.59,8,КАТ1,E5,Проектная работа будет представлена.,,Это длинное и осмысленное предложение для анализа.,,2025-01-14
21,3.21,4,КАТ2,E5,Объект находится в разработке.,Это длинное и осмысленное предложение для анализа.,Модульная работа.,False,2025-07-06
42,3.91,3,КАТ6,D4,Студент успешно выполнил все поставленные перед ним задачи.,Это длинное и осмысленное предложение для анализа.,Это длинное и осмысленное предложение для анализа.,False,2025-11-08
31,3.44,9,КАТ5,B2,Сегодня прекрасный день для изучения Pandas.,Это длинное и осмысленное предложение для анализа.,Студент успешно выполнил все поставленные перед ним задачи.,False,2025-01-07
26,3.83,3,КАТ6,A1,Модульная работа.,,,True,2025-01-03
43,4.77,9,КАТ2,D4,Модульная работа.,,Объект находится в разработке.,False,2025-04-21
19,3.65,2,,C3,Объект находится в разработке.,Увеличение количества пропусков.,Сегодня прекрасный день для изучения Pandas.,True,2025-08-26
37,3.24,2,КАТ6,D4,Проектная работа будет представлена.,,Это длинное и осмысленное предложение для анализа.,False,2025-12-29
45,,2,КАТ1,D4,Это длинное и осмысленное предложение для анализа.,Проектная работа будет представлена.,,False,2025-08-27
64,4.81,6,КАТ4,B2,Проектная работа будет представлена.,Модульная работа.,Сегодня прекрасный день для изучения Pandas.,False,2025-10-01
24,3.54,3,,C3,Объект находится в разработке.,Модульная работа.,Увеличение количества пропусков.,True,2025-10-21
61,4.3,9,КАТ6,D4,Модульная работа.,Модульная работа.,Проектная работа будет представлена.,False,2025-08-15
25,3.0,4,КАТ6,A1,Проектная работа будет представлена.,Сегодня прекрасный день для изучения Pandas.,Это длинное и осмысленное предложение для анализа.,False,2025-01-15
64,3.71,1,КАТ3,,Модульная работа.,Модульная работа.,Модульная работа.,True,2025-07-11
52,3.61,4,КАТ4,E5,Сегодня прекрасный день для изучения Pandas.,Увеличение количества пропусков.,Сегодня прекрасный день для изучения Pandas.,False,2025-04-29
31,3.33,1,КАТ5,C3,Это длинное и осмысленное предложение для анализа.,Модульная работа.,Модульная работа.,True,2025-01-28
34,,5,КАТ1,C3,Сегодня прекрасный день для изучения Pandas.,,Увеличение количества пропусков.,False,
53,3.97,4,КАТ5,E5,Модульная работа.,,Объект находится в разработке.,True,2025-02-08
57,4.38,8,КАТ4,D4,Модульная работа.,Модульная работа.,Модульная работа.,True,2025-09-30
21,3.54,8,КАТ4,,,Проектная работа будет представлена.,Сегодня прекрасный день для изучения Pandas.,False,2025-08-19
19,3.49,7,КАТ4,A1,Студент успешно выполнил все поставленные перед ним задачи.,Объект находится в разработке.,Модульная работа.,True,2025-03-27
23,3.34,3,КАТ5,A1,Сегодня прекрасный день для изучения Pandas.,Объект находится в разработке.,Модульная работа.,,2025-05-06
59,3.44,1,КАТ4,B2,Увеличение количества пропусков.,Проектная работа будет представлена.,Модульная работа.,True,2025-10-27
21,4.12,1,КАТ6,C3,Сегодня прекрасный день для изучения Pandas.,Это длинное и осмысленное предложение для анализа.,Студент успешно выполнил все поставленные перед ним задачи.,True,2025-01-25
46,3.81,3,КАТ5,D4,Студент успешно выполнил все поставленные перед ним задачи.,,Студент успешно выполнил все поставленные перед ним задачи.,True,2025-05-25
35,3.13,6,КАТ4,E5,Модульная работа.,Сегодня прекрасный день для изучения Pandas.,Объект находится в разработке.,True,2025-01-13
43,3.51,7,КАТ6,E5,Объект находится в разработке.,Это длинное и осмысленное предложение для анализа.,Это длинное и осмысленное предложение для анализа.,False,2025-07-31
61,3.49,6,КАТ3,D4,Сегодня прекрасный день для изучения Pandas.,Это длинное и осмысленное предложение для анализа.,Модульная работа.,True,2025-01-25
51,4.39,6,КАТ4,F6,Модульная работа.,Увеличение количества пропусков.,Увеличение количества пропусков.,True,2025-03-09
27,4.42,6,КАТ5,B2,Объект находится в разработке.,Сегодня прекрасный день для изучения Pandas.,Это длинное и осмысленное предложение для анализа.,False,2025-03-08
53,3.3,3,КАТ2,E5,Объект находится в разработке.,Сегодня прекрасный день для изучения Pandas.,Увеличение количества пропусков.,False,2025-08-21
31,5.0,6,КАТ4,C3,Студент успешно выполнил все поставленные перед ним задачи.,Это длинное и осмысленное предложение для анализа.,Это длинное и осмысленное предложение для анализа.,False,2025-04-19
48,,8,КАТ2,B2,Сегодня прекрасный день для изучения Pandas.,Модульная работа.,Объект находится в разработке.,False,2025-05-26
32,4.95,2,КАТ6,C3,Проектная работа будет представлена.,Увеличение количества пропусков.,Модульная работа.,False,2025-04-21
25,3.82,5,,A1,Это длинное и осмысленное предложение для анализа.,Увеличение количества пропусков.,Модульная работа.,False,2025-08-16
31,3.07,1,КАТ1,B2,Студент успешно выполнил все поставленные перед ним задачи.,,Проектная работа будет представлена.,False,2025-04-21
40,3.69,1,КАТ3,E5,Студент успешно выполнил все поставленные перед ним задачи.,Сегодня прекрасный день для изучения Pandas.,Увеличение количества пропусков.,True,
57,4.27,5,КАТ4,B2,Проектная работа будет представлена.,Это длинное и осмысленное предложение для анализа.,,True,2025-04-21
38,4.36,3,КАТ2,B2,Это длинное и осмысленное предложение для анализа.,Объект находится в разработке.,Это длинное и осмысленное предложение для анализа.,False,
33,4.06,4,КАТ2,B2,Модульная работа.,Проектная работа будет представлена.,Студент успешно выполнил все поставленные перед ним задачи.,True,2025-08-24
62,3.9,3,КАТ5,F6,Увеличение количества пропусков.,Студент успешно выполнил все поставленные перед ним задачи.,Проектная работа будет представлена.,True,2025-03-24
35,4.11,1,КАТ2,B2,Сегодня прекрасный день для изучения Pandas.,Увеличение количества пропусков.,Сегодня прекрасный день для изучения Pandas.,True,2025-02-11
64,4.19,1,КАТ5,C3,Увеличение количества пропусков.,Проектная работа будет представлена.,Сегодня прекрасный день для изучения Pandas.,False,2025-04-11
41,3.16,5,КАТ6,A1,Модульная работа.,Проектная работа будет представлена.,Студент успешно выполнил все поставленные перед ним задачи.,False,2025-01-06
43,3.74,6,КАТ1,D4,Студент успешно выполнил все поставленные перед ним задачи.,Модульная работа.,Студент успешно выполнил все поставленные перед ним задачи.,True,2025-06-29
42,3.48,3,КАТ4,B2,Это длинное и осмысленное предложение для анализа.,Студент успешно выполнил все поставленные перед ним задачи.,Студент успешно выполнил все поставленные перед ним задачи.,False,
62,4.61,9,КАТ5,E5,Студент успешно выполнил все поставленные перед ним задачи.,Проектная работа будет представлена.,Увеличение количества пропусков.,True,2025-11-16
58,3.94,5,КАТ1,B2,,Проектная работа будет представлена.,Увеличение количества пропусков.,True,2025-08-14
46,4.97,8,КАТ2,E5,Студент успешно выполнил все поставленные перед ним задачи.,Студент успешно выполнил все поставленные перед ним задачи.,Объект находится в разработке.,True,2025-11-11
32,3.8,1,КАТ2,C3,Студент успешно выполнил все поставленные перед ним задачи.,Студент успешно выполнил все поставленные перед ним задачи.,Объект находится в разработке.,True,2025-12-31
62,4.63,5,КАТ1,,Модульная работа.,Проектная работа будет представлена.,Студент успешно выполнил все поставленные перед ним задачи.,False,2025-08-17
18,4.6,3,КАТ2,D4,Модульная работа.,Студент успешно выполнил все поставленные перед ним задачи.,Проектная работа будет представлена.,False,2025-10-16
42,3.3,1,КАТ6,A1,Модульная работа.,Проектная работа будет представлена.,Это длинное и осмысленное предложение для анализа.,False,2025-05-30
24,4.02,4,КАТ6,E5,Увеличение количества пропусков.,Проектная работа будет представлена.,Увеличение количества пропусков.,True,2025-10-04
26,4.39,5,КАТ1,E5,,Модульная работа.,Проектная работа будет представлена.,False,2025-07-17
41,4.72,7,КАТ5,A1,Модульная работа.,Это длинное и осмысленное предложение для анализа.,Модульная работа.,True,2025-03-11
18,3.65,1,КАТ5,D4,Это длинное и осмысленное предложение для анализа.,Проектная работа будет представлена.,Увеличение количества пропусков.,False,2025-04-22
61,3.44,3,КАТ1,B2,Увеличение количества пропусков.,Объект находится в разработке.,Увеличение количества пропусков.,True,2025-01-04
